member
rodzina
family
krewny
relative
matka
mother
mama
mum
mummy
mom
ojciec
father
tata
dad
daddy
matka chrzestna
godmother
ojciec chrzestny
godfather
macocha
stepmother
ojczym
stepfather
teściowa
mother-in-law
teść
father-in-law
córka
daughter
syn
son
"syn chrzestny, chrześniak"
godson
"córka chrzestna, chrześnica, chrześniaczka"
goddaughter
pasierbica
stepdaughter
stepchild
pasierb
stepson
stepchild
synowa
daughter-in-law
zięć
son-in-law
babcia
grandmother
dziadek
grandfather
prababcia
great-grandmother
pradziadek
great-grandfather
wnuczka
granddaughter
wnuk
grandson
prawnuczka
great-granddaughter
prawnuk
great-grandson
siostra
sister
brat
brother
siostra
przyrodnia
stepsister
brat
przyrodni
stepbrother
bratowa
sister-in-law
szwagier
brother-in-law
kuzyn
kuzynka
cousin
ciocia
aunt
wujek
uncle
stryj
uncle
bratanica
siostrzenica
niece
bratanek
siostrzeniec
nephew
żona
wife
mąż
husband
małżonek
małżonka
spouse
rozwodnik
rozwódka
divorcee
wdowa
widow
wdowiec
widower
